order_id,customer_id,order_date,product,quantity,unit_price,revenue,order_month
1,1001,2024-01-01,Widget A,2,9.99,19.98,2024-01
2,1002,2024-01-03,Widget B,1,19.99,19.99,2024-01
3,1001,2024-01-07,Widget C,5,4.5,22.5,2024-01
4,1003,2024-02-10,Widget A,3,9.99,29.97,2024-02
5,1004,2024-02-15,Widget B,2,19.99,39.98,2024-02
6,1002,2024-03-01,Widget D,1,29.99,29.99,2024-03
7,1005,2024-03-05,Widget A,10,9.99,99.9,2024-03
8,1001,2024-03-20,Widget B,4,19.99,79.96,2024-03
9,1006,2024-04-02,Widget C,2,4.5,9.0,2024-04
10,1007,2024-04-15,Widget D,3,29.99,89.97,2024-04
